instType,instId,tradeId,ordId,clOrdId,billId,tag,fillPx,fillSz,side,posSide,execType,feeCcy,fee,ts,subType
SWAP,SUI-USDT-SWAP,51407925,661949571207507976,null,661949630032621638,null,0.7718,405.0,buy,net,M,USDT,-20210403.01562895,1704093090000,1
SWAP,SUI-USDT-SWAP,51407924,661949571207507976,null,661949630003261490,null,0.7718,777.0,buy,net,M,USDT,-0.02998443,1704093090000,1
SWAP,SUI-USDT-SWAP,51407962,661949571207507976,null,661949905267044372,null,0.7718,197.0,buy,net,M,USDT,-0.00760223,1704093155000,1
SWAP,SUI-USDT-SWAP,51407923,661949571207507976,null,661949629990678550,null,0.7718,404.0,buy,net,M,USDT,-0.01559036,1704093090000,1
SWAP,IMX-USDT-SWAP,60779520,661823964297539634,O661823964290277383,661823968613478405,null,2.12,290.0,sell,net,M,USDT,-0.03074,1704063130000,2
SWAP,IMX-USDT-SWP,60779249,661823964297539634,O661823964290277383,661823964373037107,null,2.12,614.0,sell,net,M,USDT,-0.065084,1704063129000,2
SWAP,IMX-USDT-SWAP,60779257,661823964297539634,O661823964290277383,661823964452728842,null,2.12,42.0,sell,net,M,USDT,-0.004452,1704063129000,2
SWAP,IMX-USDT-SWAP,60779260,661823964297539634,O661823964290277383,661823964469506093,null,2.12,420.0,sell,net,M,USDT,-0.04452,1704063129000,2
SWAP,IMX-USDT-SWAP,60779273,661823964297539634,O661823964290277383,661823964666638358,null,2.12,93.0,sell,net,M,USDT,-0.009858,1704063129000,2
SAP,IMX-USDT-SWAP,60779303,661823964297539634,O661823964290277383,661823965442584576,null,2.12,82.0,sell,net,M,USDT,-0.008692,1704063129000,2
SWAP,IMX-USDT-SWAP,60779540,661823964297539634,O661823964290277383,661823968743501824,null,2.12,16379.0,sell,net,M,USDT,-1.736174,1704063130000,2
SWAP,IMX-USDT-SWAP,60779231,661823964297539634,O661823964290277383,661823964310122539,null,2.12,6.0,sell,net,T,USDT,-0.00318,1704063129000,2
SWAP,IMX-USDT-SWAP,60779293,661823964297539634,O661823964290277383,661823964813438984,null,2.12,1266.0,sell,net,M,USDT,-0.134196,1704063129000,2
SWAP,IMX-USDT-SWAP,60779346,661823964297539634,O661823964290277383,661823966436634643,null,2.12,5.0,sell,net,M,USDT,-0.00053,1704063129000,2
